No,Nama Aset,Bentuk Pemanfaatan,Peruntukan,Pusat_kota,Visibilitas,Bangunan,Luas,Desa,Kecamatan,Jenis Hak,Jalan,Pengelola,Luas,Bujur,Lintang,Sumber_data,Bujur Desimal,Lintang Desimal,Bujur alun,Lintang alun,Jarak pusat kota,Jarak jalan utama
1,,Sewa,Kantor,Pinggir,Sedang,Bagus,2716,ORO ORO OMBO,KARTOHARJO,HPL,Jl. Letjend S. Parman,Puskesmas Oro-oro Ombo,2716,"32,041","37,356",Sewa - Kota,111.534016666667,7.6226,112,8,"2,030",
2,,Sewa,Kantor,Pinggir,Sedang,Bagus,200.00,,,HPL,,BUMD,200.00,111.495008,-7.624703,Sewa - Kabupaten,111.495008,7.624703,112,8,"2,451",
3,,Sewa,Ruko,Pusat,Strategis,Bagus,500.00,,,HPL,,Geprek Juara,500.00,111.526403,-7.641749,Sewa - Kabupaten,111.526403,7.641749,112,8,"1,762",
4,,Pakai,Kantor,Pusat,Bagus,Bagus,5070,KARTOHARJO,KARTOHARJO,PAKAI,Jl. Perintis Kemerdekaan,DPRD,5070,"31,306","37,492",Sewa - Kota,111.521766666667,7.62486666666667,112,8,721,
5,,Sewa,Pasar,Pusat,Strategis,Bagus,6025,KARTOHARJO,KARTOHARJO,PAKAI,Jl. Pahlawan 33,Bagian Umum,6025,"31,242","37,483",Sewa - Kota,111.5207,7.62471666666667,112,8,648,
6,,Pakai,Ruko,Pusat,Strategis,Sedang,2235,KARTOHARJO,KARTOHARJO,PAKAI,Jl. Sulawesi 18,Kartoharjo,2235,"31,336","37,666",Sewa - Kota,111.522266666667,7.62776666666667,112,8,620,
7,,Pakai,Kantor,Pusat,Bagus,Bagus,1492,KARTOHARJO,KARTOHARJO,PAKAI,Jl. Dr. Sutomo No. 70,DPRD,1492,"31,403","37,675",Sewa - Kota,111.523383333333,7.62791666666667,112,8,737,
8,,Sewa,Pasar,Pusat,Strategis,Bagus,5785,KARTOHARJO,KARTOHARJO,HPL,Jl. Pahlawan dan Kalimantan,Bagian perlengkapan,5785,"31,228","37,609",Sewa - Kota,111.520466666667,7.62681666666667,112,8,476,
9,,Sewa,Ruko,Pusat,Strategis,Bagus,200,,,HPL,,BPKAD,200,111.512291,-7.633486,Sewa - Kabupaten,111.512291,7.633486,112,8,698,
10,,Sewa,Ruko,Pusat,Strategis,Bagus,90.00,,,HPL,,,90.00,,,Sewa - Kota,111,7,112,8,"90,232",
11,,Sewa,Pasar,Pusat,Strategis,Bagus,15710,KEJURON,TAMAN,HPL,Jl. Jend Sudirman,Dinas Pasar,15710,"31,278","37,882",Sewa - Kota,111.5213,7.63136666666667,112,8,557,
12,,Sewa,Pasar,Pusat,Strategis,Bagus,14060,KLEGEN,KARTOHARJO,HPL,Jl. Imam Bonjol Slamet Riadi,Dinas pasar,14060,"32,258","37,541",Sewa - Kota,111.537633333333,7.62568333333333,112,8,"2,327",
13,,Sewa,Pasar,Pusat,Strategis,Bagus,5784,ORO ORO OMBO,KARTOHARJO,HPL,Jl. Letjend S. Parman,Dinas Pasar,5784,"32,137","37,314",Sewa - Kota,111.535616666667,7.6219,112,8,"2,222",
14,,Pakai,Pasar,Pusat,Strategis,Bagus,1380,ORO ORO OMBO,KARTOHARJO,PAKAI,Jl. Let. Jend. S. Parman,Dinas Pasar,1380,"32,002","37,221",Sewa - Kota,111.533366666667,7.62035,112,8,"2,068",
15,,Pakai,Pasar,Pusat,Strategis,Bagus,2252,PANGONGANGAN,MANGUHARJO,PAKAI,Jl. Mayjend Sungkono,Dinas Pasar,2252,"30,775","37,828",Sewa - Kota,111.512916666667,7.63046666666667,112,8,455,
16,,Pakai,Pasar,Pusat,Strategis,Bagus,905,MANISREJO,TAMAN,PAKAI,Jl. Tanjung Raya,Dinas Pasar,905,"32,800","38,610",Sewa - Kota,111.546666666667,7.6435,112,8,"3,661",
17,,Pakai,Pasar,Pusat,Strategis,Bagus,1735,NAMBANGAN LOR,MANGUHARJO,PAKAI,Jl. Mayjend Sungkono,Dinas Pasar,1735,"30,751","38,274",Sewa - Kota,111.512516666667,7.6379,112,8,"1,088",
18,,Pakai,Pasar,Pusat,Strategis,Bagus,1490,KANIGORO,KARTOHARJO,PAKAI,Jl.Dr.Setiabudi,Dinas pasar,1490,"32,892","38,113",Sewa - Kota,111.5482,7.63521666666667,112,8,"3,527",
19,,Pakai,Pasar,Pusat,Strategis,Bagus,5200,NAMBANGAN KIDUL,MANGUHARJO,PAKAI,Jl. Tirta Raya,Dinas Pasar,5200,"29,980","37,924",Sewa - Kota,111.499666666667,7.63206666666667,112,8,"1,917",
20,,Pakai,Ruko,Pusat,Sedang,Sedang,421,KEJURON,TAMAN,PAKAI,Jl. Jend Sudirman no.77,Dinas pasar,421,"31,444","37,885",Sewa - Kota,111.524066666667,7.63141666666667,112,8,842,
21,,Pakai,Pasar,Pusat,Strategis,Bagus,947,MANGUHARJO,MANGUHARJO,PAKAI,Jl. Hayam Wuruk,Dinas Pasar,947,"30,560","37,723",,111.509333333333,7.62871666666667,112,8,824,
22,,Pakai,Pasar,Pusat,Strategis,Bagus,5872,ORO ORO OMBO,KARTOHARJO,PAKAI,Jl. Diponegoro,Dinas Pasar,5872,"32,095","37,423",,111.534916666667,7.62371666666667,112,8,"2,084",
23,,Pakai,Pasar,Pusat,Strategis,Bagus,1320,MADIUN LOR,MANGUHARJO,PAKAI,Jl. Pahlawan,Dinas Pasar,1320,"31,300","37,145",,111.521666666667,7.61908333333333,112,8,"1,235",
24,,Sewa,Perumahan,Sedang,Kurang,Sedang,"27,024",PANDEAN,TAMAN,HGB,JALAN SALAK,,"27,024","31,910","38,653",Sewa Kota,111.531833333333,7.64421666666667,112,8,"2,362",
25,,Sewa,Perumahan,Sedang,Kurang,Sedang,5055,PANDEAN,TAMAN,HGB,,,5055,"31,836","38,651",Sewa Kota,111.5306,7.64418333333333,112,8,"2,265",
26,,Sewa,Perumahan,Sedang,Kurang,Sedang,"87,580",KLEGEN,KARTOHARJO,HGB,JL SLAMET RIYADI DAN JL SETIABUDI,AURI,"87,580","32,380","37,898",Sewa Kota,111.539666666667,7.63163333333333,112,8,"2,536",
27,,Sewa,Perumahan,Sedang,Kurang,Sedang,"57,945",KELUN,KARTOHARJO,HGB,JL SRI SEDONO DAN JALAN SRI SEDANI,PERUMAHAN,"57,945","33,257","36,147",Sewa Kota,111.554283333333,7.60245,112,8,"5,083",
28,,Sewa,Perumahan,Sedang,Kurang,Sedang,"16,590",KELUN,KARTOHARJO,HGB,JL SRI SEDONO DAN JALAN SRI SEDANI,PERUMAHAN,"16,590","33,315","36,214",Sewa Kota,111.55525,7.60356666666667,112,8,"5,100",
29,,Sewa,Ruko,Pusat,Strategis,Bagus,3614,KLEGEN,KARTOHARJO,HGB,Jl. Hercules,Bagian perlengkapan,3614,"32,404","37,865",Sewa Kota,111.540066666667,7.63108333333333,112,8,"2,574",
30,,Sewa,Ruko,Pusat,Strategis,Bagus,87580,KLEGEN,KARTOHARJO,HGB,Jl. Dr. setia Budi - Slamet Riadi,Bagian perlengkapan,87580,"32,516","38,002",,111.541933333333,7.63336666666667,112,8,"2,811",
31,,Sewa,Ruko,Pusat,Strategis,Bagus,255,PANDEAN,TAMAN,HGB,,,255,"31,942","38,652",Pakai PasarKota,111.532366666667,7.6442,112,8,"2,402",
32,,Sewa,Pasar,Pusat,Strategis,Bagus,55157,ORO ORO OMBO,KARTOHARJO,HPL,Jl. Pelita Tama,DKK,55157,"32,148","37,365",Pakai PasarKota,111.5358,7.62275,112,8,"2,209",
33,,Sewa,Ruko,Pusat,Strategis,Bagus,1531,PANDEAN,TAMAN,HPL,Jl. Kutai-Agus Salim,,1531,"31,042","37,877",Pakai PasarKota,111.517366666667,7.63128333333333,112,8,253,
34,,Sewa,Ruko,Pusat,Strategis,Bagus,865,PANDEAN,TAMAN,HPL,Jl. Musi,Pandean,865,"31,114","38,391",Pakai PasarKota,111.518566666667,7.63985,112,8,"1,213",
35,,Sewa,Ruko,Pusat,Strategis,Bagus,3720,MANGUHARJO,MANGUHARJO,MILIK,Blok Jatengan Kidul,Manguharjo,3720,"30,411","37,989",Pakai PasarKota,111.50685,7.63315,112,8,"1,186",
