No,Nama Aset,Bentuk Pemanfaatan,Peruntukan,Pusat_kota,Visibilitas,Bangunan,Luas,Desa,Kecamatan,Jenis Hak,Jalan,Pengelola,Luas,Bujur,Lintang,Sumber_data,Bujur Desimal,Lintang Desimal,Bujur pahlawan,Lintang pahlawan,Jarak pusat kota,Jarak pusat kota2
40,,Sewa,Ruko,Pusat,Strategis,Bagus,70,,,HPL,,Kantor,70,111.661205,-7.548428,Sewa - Kabupaten,111.661205,7.548428,111.520149,7.624574,18269,17703.4619866677
82,,Sewa,Ruko,Pusat,Strategis,Bagus,90,NAMBANGAN LOR,MANGUHARJO,PAKAI,Jl. Agus Salim,DKK,90,31023,38078,,111.51705,7.63463333333333,111.520149,7.624574,618,1169.5280813729
10,,Sewa,Ruko,Pusat,Strategis,Bagus,90,,,HPL,,,90,,,Sewa - Kota,111,7,111.520149,7.624574,90232,90078.9343951524
38,,Sewa,Ruko,Pusat,Strategis,Bagus,100,,,HPL,,BPKAD,100,111.658034,-7.548136,Sewa - Kabupaten,111.658034,7.548136,111.520149,7.624574,17982,17413.1486718588
37,,Sewa,Ruko,Pusat,Strategis,Bagus,150,,,HPL,,BPKAD,150,111.52578,-7.623174,Sewa - Kabupaten,111.52578,7.623174,111.520149,7.624574,1188,639.82999789645
,,Pakai,Ruko,Pusat,Sedang,Sedang,175,MADIUN LOR,MANGUHARJO,PAKAI,Jl.Sumatra no.33,,175,31286,37237,,111.521433333333,7.62061666666667,111.520149,7.624574,1071,462.241287795236
2,,Sewa,Kantor,Pinggir,Sedang,Bagus,200,,,HPL,,BUMD,200,111.495008,-7.624703,Sewa - Kabupaten,111.495008,7.624703,111.520149,7.624574,2451,2770.86982062738
9,,Sewa,Ruko,Pusat,Strategis,Bagus,200,,,HPL,,BPKAD,200,111.512291,-7.633486,Sewa - Kabupaten,111.512291,7.633486,111.520149,7.624574,698,1316.0678054494
79,,Sewa,Ruko,Pusat,Strategis,Bagus,229,JOSENAN,TAMAN,PAKAI,Jl. Tilampil,DKK,229,30952,39189,,111.515866666667,7.65315,111.520149,7.624574,2678,3212.36101250404
31,,Sewa,Ruko,Pusat,Strategis,Bagus,255,PANDEAN,TAMAN,HGB,,,255,31942,38652,Pakai PasarKota,111.532366666667,7.6442,111.520149,7.624574,2402,2564.28086012235
86,,Pakai,Kantor,Pinggir,Sedang,Bagus,260,KEJURON,TAMAN,PAKAI,Jl. Kapten Saputro,Kejuron,260,31546,38105,,111.525766666667,7.63508333333333,111.520149,7.624574,1192,1322.46115393569
80,,Sewa,Ruko,Pusat,Strategis,Bagus,270,MADIUN LOR,MANGUHARJO,PAKAI,Jl. Candi Sewu,DKK,270,31302,36899,,111.5217,7.61498333333333,111.520149,7.624574,1658,1080.04584504002
,,Sewa,Ruko,Pusat,Strategis,Bagus,311,MADIUN LOR,MANGUHARJO,PAKAI,Jl.Pahlawan no 19,,311,31258,37256,,111.520966666667,7.62093333333333,111.520149,7.624574,1016,414.732403263904
56,,Pakai,Ruko,Pusat,Sedang,Sedang,335,KLEGEN,KARTOHARJO,PAKAI,Jl. Husni Thamrin Gg Sri Gading,Klegen,335,31974,37654,,111.5329,7.62756666666667,111.520149,7.624574,1782,1444.1665415063
83,,Sewa,Ruko,Pusat,Strategis,Bagus,366,ORO ORO OMBO,KARTOHARJO,PAKAI,,DKK,366,32009,37435,,111.533483333333,7.62391666666667,111.520149,7.624574,1926,1471.4176074679
50,,Pakai,Ruko,Pusat,Sedang,Sedang,380,ORO ORO OMBO,KARTOHARJO,PAKAI,Jl. Pelitatama,Oro-oro Ombo,380,32117,37327,,111.535283333333,7.62211666666667,111.520149,7.624574,2179,1690.21844975026
85,,Pakai,Kantor,Pinggir,Sedang,Bagus,410,MOJOREJO,TAMAN,PAKAI,Jl. Setia Budi No. 62 - 13,Mojorejo,410,32041,37959,,111.534016666667,7.63265,111.520149,7.624574,1938,1772.65928106385
20,,Pakai,Ruko,Pusat,Sedang,Sedang,421,KEJURON,TAMAN,PAKAI,Jl. Jend Sudirman no.77,Dinas pasar,421,31444,37885,Sewa - Kota,111.524066666667,7.63141666666667,111.520149,7.624574,842,874.840951520629
3,,Sewa,Ruko,Pusat,Strategis,Bagus,500,,,HPL,,Geprek Juara,500,111.526403,-7.641749,Sewa - Kabupaten,111.526403,7.641749,111.520149,7.624574,1762,2030.34288741118
93,,Pakai,Kantor,Pinggir,Sedang,Bagus,600,DEMANGAN,TAMAN,PAKAI,Jl. Jati Siwur RT 14,Demangan,600,31419,39670,,111.52365,7.66116666666667,111.520149,7.624574,3647,4087.16789255501
92,,Pakai,Kantor,Pinggir,Sedang,Bagus,710,DEMANGAN,TAMAN,PAKAI,Jl.jati siwur,Demangan,710,31562,39672,,111.526033333333,7.6612,111.520149,7.624574,3713,4123.9295524694
34,,Sewa,Ruko,Pusat,Strategis,Bagus,865,PANDEAN,TAMAN,HPL,Jl. Musi,Pandean,865,31114,38391,Pakai PasarKota,111.518566666667,7.63985,111.520149,7.624574,1213,1707.54062985571
16,,Pakai,Pasar,Pusat,Strategis,Bagus,905,MANISREJO,TAMAN,PAKAI,Jl. Tanjung Raya,Dinas Pasar,905,32800,38610,Sewa - Kota,111.546666666667,7.6435,111.520149,7.624574,3661,3601.35740234029
21,,Pakai,Pasar,Pusat,Strategis,Bagus,947,MANGUHARJO,MANGUHARJO,PAKAI,Jl. Hayam Wuruk,Dinas Pasar,947,30560,37723,,111.509333333333,7.62871666666667,111.520149,7.624574,824,1277.91788911604
41,,Sewa,Ruko,Pusat,Strategis,Bagus,1150,MOJOREJO,TAMAN,PAKAI,Jl. Mastrip - Letjen. Haryono,dinas pasar,1150,31958,37972,Pakai PasarKota,111.532633333333,7.63286666666667,111.520149,7.624574,1795,1656.31838891492
